Name,What,Who,Phone,Free Call,Email,Website,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Public Holidays,Tram routes,Bus routes,Nearest train station,Category 1,Longitude,Latitude,address
Rosies Bus,"Rosies Bus parks at Flinders Street Station and provides tea, coffee, biscuits, milo, and cordial.
(Winter Season):  Blankets/Gloves/Beanies and Scarves)",,9795 5077,,rosies.vic@oblates.com.au,rosiesvic.oblates.com.au,Closed,Closed,8.30pm - 10.30pm,Closed,8.30pm - 10.30pm,Closed,Closed,Closed,,,Flinders Street,Food,,,  
Melbourne Counselling Service,"gambling counselling, youth sexual assault counselling, a unit of Gamblers Help, financial counselling, general counselling",,9653 3250,,,salvationarmy.org.au,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,"City Circle, 86, 95, 96 (stop 9 Spring St)",,Parliament,Counselling and Psychiatric Services,144.971628,-37.812515,Level 2 69 Bourke Street Melbourne
Hamodava Café,"Provides meals Monday to Friday, at no cost.


a  safe place for Melbourne’s homeless and marginalized
meals provided Monday to Friday at no cost
assessment and referral for D&A, mental health and legal services",,9653 3299,,,salvationarmy.org.au/melbourne614,"Breakfast: 9.00am – 10.30am, Lunch: 11.30am – 1.00pm","Breakfast: 9.00am – 10.30am, Lunch: 11.30am – 1.00pm","Breakfast: 9.00am – 10.30am, Lunch: 11.30am – 1.00pm","Breakfast: 9.00am – 10.30am, Lunch: 11.30am – 1.00pm","Breakfast: 9.00am – 10.30am, Lunch: 11.30am – 1.00pm",Closed,Closed,Closed,"City Circle, 86, 96 (stop 9 Spring St)",,Parliament,Food,144.971628,-37.812515, 69 Bourke Street Melbourne
Open Family Australia,"Outreach service for young people 10-25 years, accommodation referral, drug and alcohol referral, legal advice referral and recreational activities.

The ‘Chatter Box Bus’ operates from 8pm till late in and around Melbourne CBD ‘hotspots’ on Wednesday, Friday and Saturday nights.  Food, advice and activities offered.",Outreach service for young people 10-25 years,8354 0800,,info@openfamily.com.au,openfamily.com.au,9.00 am - 5.00 pm,9.00 am - 5.00 pm,"9.00 am - 5.00 pm, Chatter Box Bus: 8pm till late",9.00 am - 5.00 pm,"9.00 am - 5.00 pm, Chatter Box Bus: 8pm till late",Chatter Box Bus: 8pm till late,Closed,Closed,57 (stop 11 Victoria St),,North Melboourne,Accommodation,144.947177,-37.808663, 155 Roden Street West Melbourne
Orygen Youth Health,Public mental health service,Young people aged 15 – 24 years living in the Western and North-Western regions of Melbourne,9342 2800,1800 888 320,info@orygen.org.au,oyh.org.au,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,55 (stop 26 Royal Park Station),,Royal Park – Upfield Line.,Health Services / Pharmacy,144.948571,-37.779449, 35 Poplar Road Parkville
Ozanam House,"crisis accommodation for men over the age of 18, food (3 meals per day to residents), laundry ($1 operation charge for residents)

centrelink services Thursday 9:30am - 11.30am

Accommodation Referrals for Ozanam House through VincentCare Housing Services.
Phone 9304 0100 
Freecall:   1800 618 468",Crisis accommodation centre houses men over 18 years of age.,9304 0100,1800 618 468,,vincentcare.org.au,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,"55, 57, 59 (stop 19 Abbotsford St Interchange)",,,Food,144.948507,-37.795439, 179 Flemington Road North Melbourne
Presbyterian and Scots’ Church Joint Mission (The Flemington Mission),"coffee, conversation,  blankets, books, etc. every Tuesday.
food relief is also available on the 1st and 3rd Tuesdays of each month.",,9376 3777,,,,Closed,10.00am - 1.00pm,Closed,Closed,Closed,Closed,Closed,Closed,57 (stop 25 Wellington St),,Newmarket (Craigieburn Line),Food,144.93081,-37.787084, 26 Norwood Street Flemington
Salvation Army – Project 614,,,9653 3299,,,salvationarmy.org.au/melbourne614,,,,,,,,,,,,,144.971628,-37.812515, 69 Bourke Street Melbourne
Settlement Program,"Providing assistance to members of the community that have lived in Australia for less than 5 years.

referral service, domestic violence support, drug and gambling information, housing advice, legal information, citizenship advice, support to community groups, settlement issues for new arrivals.",,9376 2033,,jss@jss.org.au,jss.org.au,9.30 AM - 5.30 PM,9.30 AM - 5.30 PM,9.30 AM - 5.30 PM,9.30 AM - 5.30 PM,9.30 AM - 5.30 PM,Closed,Closed,Closed,57,,,Accommodation,144.935707,-37.78706, 58 Holland Court Flemington
Stopover Youth Services,"crisis refuge accommodation
advocacy and general support

Housing support program offered for 16-24 year old young people experiencing homelessness.  Individual room and bathroom, food included, small service fee payable by clients.  Stays of approximately 6 weeks, based on individual case plan.

Outreach housing support for young people experiencing homelessness either in temporary housing or without any fixed housing.  

Referral through the Opening Doors Framework Access Points, including Melbourne Youth Support at Frontyard, 19 King Street, Melbourne.",Housing support program offered for 16-24 year old young people experiencing homelessness.,8486 2133,,stopover@mcm.org.au,melbournecitymission.org.au,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,,,,Food,,,  
The Big Issue Australia,"“The independent street magazine sold by homeless and unemployed people.”
magazine vendor opportunities
opportunity to make money and friends, gain confidence and learn skills
choose your own hours
no referral process needed
vendors paid for all contributions published in the magazine
Community Street Soccer Inclusive Program (see website for more information)
everybody welcome

The Big Issue is a non-profit organisation helping people to help themselves.",,9663 4733,,bigissue@bigissue.org.au,thebigissue.org.au,,,,,,,,,"85, 96 (stop 7 Russell St)",,,Employment Assistance,144.968044,-37.810394, 148 Lonsdale Street Melbourne
The Drum Youth Services,"school based services, recreation programs, personal support, advocacy and referral, personal development and leadership programs, youth events, counseling, queer youth",,9663 6733,,enquiries@ds.org.au,ds.org.au,"The Underground - 150 Plamerston Street - 4pm - 7pm, The Office - 195 Drummond Street - 9am - 5pm)","The Underground - 150 Plamerston Street - 4pm - 7pm, The Office - 195 Drummond Street - 9am - 5pm)","The Underground - 150 Plamerston Street - 4pm - 7pm, The Office - 195 Drummond Street - 9am - 5pm)","The Underground - 150 Plamerston Street - 4pm - 7pm, The Office - 195 Drummond Street - 9am - 5pm)",The Office - 195 Drummond Street - 9am-3pm),Closed,Closed,Closed,"1, 3, 5, 6, 8, 16, 64, 67, 72 (stop 3 Lincoln Square)",,,Counselling and Psychiatric Services,144.967936,-37.804233, 100 Drummond Street Carlton
Victoria Police - Melbourne West,In case of an emergency or if you require immediate assistance call Triple Zero (000),,9247 6491,000,MELBOURNEWEST.UNI@police.vic.gov.au,police.vic.gov.au,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,,,,Hospitals / Emergency,144.952925,-37.821835, 637 Flinders Street Melbourne
Victorian Aboriginal Legal Service,"legal services

Provides support with civil, family and criminal law matters for Aboriginal people and Torres Strait Islanders.",Aboriginal people and Torres Strait Islanders,9418 5999,1800 064 865,,vals.org.au,,,,,,,,,86 (stop 46 East Preston Tram Depot),,Bell (Upfield Line),Legal / Financial Advice,145.002669,-37.743764, 273 High Street Preston
VincentCare Youth Support Service,outreach housing support for young people,Outreach housing support services for homeless young people between the ages of 16 and 25 years,9304 0100,,,vincentcare.org.au,,,,,,,,,,,Glenroy (Craigieburn Line),Tenancy Assistance,144.91966,-37.705865, 175 Glenroy Road Glenroy
Waratah Clinic,psychiatric services,"Waratah helps homeless people over 18 years of age who have a psychiatric illness.  Mainly in the inner-west region, and services night shelters, Office of Housing units and squats.",9377 3400,,,mh.org.au,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,59 (Stop 33 Moonee Ponds Junction),,Moonee Ponds (Craigieburn Line),Counselling and Psychiatric Services,144.924389,-37.766379,Level 2 641 Mt Alexander Road Moonee Ponds
William T Onus Hostel,temporary accommodation for indigenous people (fees apply),,9489 6701,,wtonus.hostel@ahl.gov.au,ahl.gov.au,08:00 AM - 08:00 PM,08:00 AM - 08:00 PM,08:00 AM - 08:00 PM,08:00 AM - 08:00 PM,08:00 AM - 08:00 PM,08:00 AM - 07:30 PM,08:00 AM - 07:30 PM,Closed,86 (Stop 27 Westgarth St),"250, 251, 506 (Westgarth Railway Station)",Westgarth (Hurstbridge Line),Accommodation,144.999486,-37.781062, 75 Westgarth Street Northcote
WIRE (Women’s Information and Referral Exchange),"Free and confidential support, information and referrals for women by women on any issues – from leaving a violent relationship to coping with depression to everything in between.

WIRE Services include:
Telephone Support Service
Livechat Support Service 
Women’s Information Centre  - Drop in for face-to-face support or free computer and internet access
Email Support Service: inforequests@wire.org.au (Response within 2 working days).

WIRE’s free programs for women include:
computer classes
job coaching sessions
AMICA Women’s Lunch and Activity Club
legal clinics
monthly seminars.

To find out about free Women’s Programs, call (03) 9348 9416 (Press 2)",,1300 134 130,,inforequests@wire.org.au,wire.org.au/womensprograms,"Telephone and Livechat Support 9.00am – 5.00pm, Women’s Information Centre 9.30am – 4.30pm","Telephone and Livechat Support 9.00am – 5.00pm, Women’s Information Centre 9.30am – 4.30pm","Telephone and Livechat Support 9.00am – 5.00pm, Women’s Information Centre 9.30am – 4.30pm","Telephone and Livechat Support 9.00am – 5.00pm, Women’s Information Centre 9.30am – 4.30pm","Telephone and Livechat Support 9.00am – 5.00pm, Women’s Information Centre 9.30am – 4.30pm",Closed,Closed,Closed,"Ciity Circle, 30, 75, 86  (stop 119 La Trobe St)",,,Helpful phone number,144.951155,-37.811651, 372 Spencer Street West Melbourne
Action Centre,"contraception, sexuality and gender issues, pregnancy and unplanned pregnancy, sexually transmissible infections, sexual decision making, relationships",Services are for under 25 year olds,9660 4700,1800 013 952,,fpv.org.au,10.00am-6.00pm,10.00am-6.00pm,10.00am-6.00pm,10.00am-6.00pm,10.00am-6.00pm,Closed,Closed,Closed,"11, 42, 48, 109, 112 (stop 5 Elizabeth St)",,Flinders Street,Health Services / Pharmacy,144.96417,-37.815731,Level 1 92-94 Elizabeth Street Melbourne
Anglicare Victoria – Mission House,Provides Emergency Relief to people living in Public Housing and rental properties with a Health Care Card.,"Assistance may be given to those living in the following postcodes: 3000, 3051, 3053, 3054, 3065, 3066, 3067, 3068, 3070.",9486 0445,,,anglicarevic.org.au,Closed,"10.00am – 12.00 Noon (Utility & Pharmaceutical ), 10.00am – 3.00pm (Op Shop), 1.30pm – 3.30pm (Food Parcels)",Closed,"10.00am – 12.00 Noon (Utility & Pharmaceutical ), 10.00am – 3.00pm (Op Shop), 1.30pm – 3.30pm (Food Parcels)",Closed,Closed,Closed,Closed,"12, 86 (stop 14 Napier St)",,,Food,144.97996,-37.804544, 122 Napier Street Fitzroy
Australian College of Optometry Outreach Services,"Homeless Persons Eyecare Program, Supported Residential Services Project, Residential Aged Care Project, Older Persons High Rise, Aboriginal and Torres Strait Island Outreach, Visiting Disability Service",Low cost eye care for those of limited means.  Appointments bulk billed to Medicare.  Glasses subsidized for pension/health care card holders.,9349 7400,,,aco.org.au,8.30am – 5.30pm,8.30am – 5.30pm,8.30am – 5.30pm,8.30am – 5.30pm,8.30am – 5.30pm,8.30am – 5.00pm,Closed,Closed,"1, 8 (stop 113 Lytton St)",,,Health Services / Pharmacy,,, Corner Keppel and Cardigan Streets Carlton
CatholicCare/St Mary of the Cross Centre,"referral, drug education, counselling, group support
outreach, multicultural support, families with drug and alcohol issues, 
spiritual support, HIV/AIDS ministry",,8417 1200,,,ccam.org.au,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,"11, 86, 12 (stop 13 Brunswick St)",,,Needle Exchange,144.976675,-37.806595, 23 Brunswick Street Fitzroy
Central City Community Health Service,"Outreach support services for people experiencing or at risk of becoming homelessness, Allied Health Outreach Services, Mental Health Outreach Services, Royal Women’s Hospital Clinic
RDNS HPP Nurses, Legal Services – Justice Connect and Inner Melbourne Community Legall, Wintringham Over 50’s Planned Activity Group, Optometry, PESP Workers

Ask to speak to the Duty Worker.  Please refer to cohealth entry in this booklet for additional information",,1300 022 247,,,cohealth.org.au,10.00am - 4.00pm,10.00am - 4.00pm,10.00am - 4.00pm,10.00am - 4.00pm,10.00am - 4.00pm,Closed,Closed,Closed,"19, 57, 59 (stop 7 RMIT University)",,Melbourne Central Station,Health Services / Pharmacy,144.961214,-37.806518, 53 Victoria Street Melbourne
Centrelink,"Centrelink is an Australian Government agency delivering a range of services to the community, including social security payments.",,132850,,,humanservices.gov.au/customer/dhs/centrelink,8.30am - 4.30pm,8.30am - 4.30pm,8.30am - 4.30pm,8.30am - 4.30pm,8.30am - 4.30pm,Closed,Closed,Closed,12 (stop 127 York St),,,Legal / Financial Advice,144.958914,-37.830941, 94 York Street South Melbourne
Clarendon Clinic,"psychiatric services for people with serious mental illness, crisis assessment",,9417 5696,,,,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,"24, 109 (stop 18 Grant St)",,,Counselling and Psychiatric Services,144.988927,-37.810921, 52 Albert Street East Melbourne
COHEALTH,"broad range of allied health and counselling services, social work/counselling sessions (by appointment only), secondary needle and syringe exchange",,9349 7333,,,cohealth.org.au,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,"1, 8 (stop 114 Princes St)",,,Counselling and Psychiatric Services,144.968594,-37.791715, 622 Lygon Street Carlton North
Frontyard Youth Services,"accommodation referral, centrelink, youth connections, gateway reconnect, legal advice, health services, 
Job Services Australia, family reconciliation and mediation program","aged between 12 to 25
homeless, at risk of homelessness, disengaged or requiring support.",9611 2411,1800 800 531,frontyard@mcm.org.au,www.frontyard.org,9.00 am – 8.00 pm,9.00 am – 8.00 pm,9.00 am – 8.00 pm,9.00 am – 8.00 pm,9.00 am – 8.00 pm,10.00 am– 6.00 pm,10.00 am– 6.00 pm,Open,"City Circle, 70, 75 (stop  2 Melbourne Aquarium)",,Southern Cross,Accommodation,144.957305,-37.819928, 19 King Street Melbourne
Hanover Fitzroy,"The Assertive Outreach Team offers support to people sleeping out.  Support can include:
accommodation information and referral , sleeping gear and food bags, referral to other services such as health or legal services, visiting people who are sleeping out.",,9288 9800,,fitzroy@hanover.org.au,hanover.org.au,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,86 (stop 16 Peel St),,,Accommodation,144.982736,-37.804578, 145 Smith Street Fitzroy
Inner Melbourne Community Legal,"free legal information, advice and casework","financially disadvantaged individuals who live, work or study in: 
·         Melbourne CBD
·         North Melbourne
·         West Melbourne
·         Docklands 
·         Carlton.",9328 1885,,north_melbourne@clc.net.au,imcl.org.au,9.00am - 5.00pm,"9.00am - 5.00pm, General legal: fortnightly from 9:30 – 11:30am, Criminal law: fortnightly from 6:30 – 8:30pm","9.00am - 5.00pm, Family law: fortnightly from 6:30 – 8:30pm",9.00am - 5.00pm,"9.00am - 5.00pm, Debt and infringement: from 1:30 – 4pm",Closed,Closed,Closed,57 (stop 12 North Melbourne Town Hall),,,Legal / Financial Advice,144.950404,-37.803069,Suite 2 508 Queensberry Street North Melbourne
Quin House,"Quin House accommodates men over 18 years. There is an abstinence-based program with referral through the withdrawal services.

residential drug and alcohol rehabilitation (3 months), post-residential program, accommodation referral",Men over 18 years,9419 4874,,,vincentcare.org.au,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,86 (stop 14 Napier St),,,Food,144.980758,-37.807263, 38-40 George Street Fitzroy
North West Outreach Service,needle and syringe program,,0418 170 556,1800 170 556,,,6.00pm – 2.00am,6.00pm – 2.00am,6.00pm – 2.00am,6.00pm – 2.00am,6.00pm – 2.00am,6.00pm – 2.00am,6.00pm – 2.00am,6.00pm – 2.00am,,,,Needle Exchange,,144.915469,"  Kensington, Flemington, Ascot Vale, Moonee Ponds, Essendon and Niddrie"
Ozanam Community Centre,"breakfast – daily between 9.15 am - 10am
lunch – daily between 12 noon - 1pm.
laundry, shower, health services, dentist, drug and alcohol counselling, doctor and nurse, therapeutic groups, centrelink, Inner Melbourne Legal Services.",Statewide services for homeless and disadvantaged people who are over 18 years old,9329 6733,,,vincentcare.org.au,9.00am - 2.30pm,9.00am - 2.30pm,9.00am - 2.30pm,9.00am - 2.30pm,9.00am - 2.30pm,Closed,Closed,Closed,57 (stop 15 Arden St),,,Food,144.946225,-37.800795, 268 Abbotsford Street North Melbourne
Sacred Heart Mission’s Women’s House,"The Women’s House is a safe drop-in centre for women open Monday – Friday 11.30am - 3.00pm.
free lunch is available between 11.30am -  2.00pm
assistance with housing and referrals, physical and mental health, counseling and support
showers, laundry & telephones
computer and internet
art program and social activities",Single Women 25 years +,9536 8464,,womenshouse@sacredheartmission.org,sacredheartmission.org,"11.30 am - 3.00 pm, free lunch 11.30 am -  2.00 pm","11.30 am - 3.00 pm, free lunch 11.30 am -  2.00 pm","11.30 am - 3.00 pm, free lunch 11.30 am -  2.00 pm","11.30 am - 3.00 pm, free lunch 11.30 am -  2.00 pm","11.30 am - 3.00 pm, free lunch 11.30 am -  2.00 pm",Closed,Closed,Closed,"16, 96 (stop 132 St Kilda Station)",,,Food,144.980237,-37.863676, 65 Robe Street St Kilda
Sacred Heart Mission’s Clinic,"provides natural and complementary therapies such as podiatry, physiotherapy, massage, hairdressing

appointment required",Priority is given to people who hold a pension/health care card or are living in unstable accommodation and live in the City of Port Phillip or have been referred by an agency.,9536 8456,,,sacredheartmission.org,9am - 4:15pm (Appointment needed),9am - 4:15pm (Appointment needed),9am - 4:15pm (Appointment needed),9am - 4:15pm (Appointment needed),9am - 4:15pm (Appointment needed),Closed,Closed,Closed,"16, 96 (stop 132 St Kilda Station)",,,Health Services / Pharmacy,144.980726,-37.86329, 1/99 Grey Street St Kilda
Salvation Army – 24/7 Melbourne’s Road Home,"is an outreach program that seeks to search, locate and engage with rough sleepers
can be contacted in regards to rough sleepers in and around the Melbourne CBD
accepts referrals from police, ambulance, business owners and the general community,",,1800 266 686 489,1800 COMMUNITY,,salvationarmy.org.au/melbourne614,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,,,,,,,  
St. Francis Pastoral Centre,,,9663 2495,,stfrancis@blessedsacrament.com.au,stfrancismelbourne.org.au,Closed,Closed,10.00am – 2.00pm,Closed,10.00am – 2.00pm,Closed,10.00am – 2.00pm,Closed,,,,Food,144.962472,-37.811735, 326 Lonsdale Street Melbourne
St. Mary’s House of Welcome,"meals program, showers, information and referral to drugs and alcohol/housing/health etc.
day-to-day living program:  provides activities and programs for people living with a mental illness.",All programs and services are open to adults aged over 18 years.,9417 6497,,,smhow.org.au,"8:30am - 3:30pm, Free breakfast 8.45am - 9.45am, Free morning tea 10.30am, Sit down two-course lunch 12:00pm - 1.00pm (cost: $2.00), Free afternoon tea at 3pm","8:30am - 3:30pm, Free breakfast 8.45am - 9.45am, Free morning tea 10.30am, Sit down two-course lunch 12:00pm - 1.00pm (cost: $2.00), Free afternoon tea at 3pm","8:30am - 1:30pm, Free breakfast 8.45am - 9.45am, Free morning tea 10.30am, Sit down two-course lunch 12:00pm - 1.00pm (cost: $2.00)","8:30am - 3:30pm, Free breakfast 8.45am - 9.45am, Free morning tea 10.30am, Sit down two-course lunch 12:00pm - 1.00pm (cost: $2.00), Free afternoon tea at 3pm","8:30am - 3:30pm, Free breakfast 8.45am - 9.45am, Free morning tea 10.30am, Sit down two-course lunch 12:00pm - 1.00pm (cost: $2.00), Free afternoon tea at 3pm","8:30am - 1:30pm, Free breakfast 8.45am - 9.45am, Free morning tea 10.30am, Sit down two-course lunch 12:00pm - 1.00pm (cost: $2.00)",Closed,Closed,11 (stop 14 King William St),,,Food,144.97746,-37.802492, 165-169 Brunswick Street Fitzroy
TRAVELLERS AID - Spencer Street,"free assistance (buggy and personal guidance) for frail, infirm, older people and people with disabilities, mobility issues and vision impairments to ensure swift, confident and safe passage throughout Southern Cross Station
Mobility Equipment Hire
Medical Companion Service (free service call 1300 700 399)
clean and accessible restrooms, baby change facilities, showers, internet access and family friendly resting space.
free personal care for people with a disability (assistance with meals and communication, fully accessible toilets with hoist and adult change table, Monday to Friday 10.00am to 5.00pm and Saturday 11.00am to 4.00pm",,9670 2072,1300 700 399,scs@travellersaid.org.au,travellersaid.org.au,7.00am to 10.00pm,7.00am to 10.00pm,7.00am to 10.00pm,7.00am to 10.00pm,7.00am to 10.00pm,7.00am to 10.00pm,7.00am to 10.00pm,Closed,"86, 96 (stop 1 Southern Cross Station)",,Southern Cross,Showers / Laundry,144.953506,-37.818367,"Main Concourse (located opposite the Luggage Hall) 
Southern Cross Station 99 Spencer Street Melbourne"
TRAVELLERS AID - Flinders Street,"Mobility Equipment Hire
Medical Companion Service (free service call 1300 700 399)
Free personal care for people with a disability (assistance with meals and communication, fully accessible toilets with hoist and adult change table).  All opening times",,9610 2030,1300 700 399,fss@travellersaid.org.au,travellersaid.org.au,8.00 am to 8.00pm,8.00 am to 8.00pm,8.00 am to 8.00pm,8.00 am to 8.00pm,8.00am – 10.00pm,8.00am – 10.00pm,8.00 am to 8.00pm,Open,,,Flinders Street,Travel Assistance,144.967392,-37.817562,"Main Concourse (between Platforms 9 & 10)
Flinders Street Station Flinders & Swanston Sts Melbourne"
Victoria Police - Melbourne North,In case of an emergency or if you require immediate assistance call Triple Zero (000),,8379 0800,000,MELBOURNENORTH-UNI-OIC@police.vic.gov.au,police.vic.gov.au,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,,,,Hospitals / Emergency,144.954611,-37.800099, 36 Wreckyn Street North Melbourne
Women’s Health Information Centre (WHIC),"The Women’s Health Information Centre (WHIC) is a free, confidential health service which offers information, individualized support and referral options on a wide range of women’s health issues.

Experienced women’s health nurses and midwives are available by telephone or email or women can come into our centre for one-on-one support and advice.",,8345 3045,,whicinfo@thewomens.org.au,thewomens.org.au,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,"19 (stop 10 Royal Melbourne Hospital), 55, 59 (stop 14 Royal Melbourne Hospital)","401, 402 (Royal Melbourne Hospital/Grattan St (Parkville) stop ID 7587)",,Legal / Financial Advice,144.955127,-37.799549,Royal Women’s Hospital Corner Grattan Street & Flemington Road Parkville
Women’s Housing Limited,"medium and long term housing accommodation 
tenancy assistance
housing information and referral",,9412 6868,,info@womenshousing.com.au,womenshousing.com.au,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,70 (stop 8 Richmond Station),,Richmond,Accommodation,144.991248,-37.825934,"Suite 1, Level 1 21 Cremorne Street Richmond"
Youth Support & Advocacy Service,drug services (before and after detox),This service is for young people aged between 10 and 22 years,9415 8860,1800 458 685,contact@ysas.org.au,ysas.org.au,Closed,11:30 AM - 05:30 PM,11:30 AM - 05:30 PM,12:00 PM - 05:30 PM,11:30 AM - 07:30 PM,12:00 PM - 08:00 PM,Closed,Open,109 (stop 19 North Richmond Station),,North Richmond Station,Accommodation,144.992751,-37.80726, 187-195 Langridge Street Abbotsford
mychild.gov.au,The mychild.gov.au website is Australia's online child care portal. On this website you will find information on different types of child care and how to get assistance with the cost of child care.,,13 36 84,,,mychild.gov.au,,,,,,,,,,,,Helpful website,,,  
Child Support Info Service,"Child Support Info Service is an automated telephone information system that provides information 24 hours a day, seven days a week about your child support account.",,13 11 07,,,humanservices.gov.au/customer/themes/child-support-and-separated-parents,,,,,,,,,,,,,,,  
Parentline Victoria,"Statewide telephone service providing counselling, information and referral for all Victorian parents and carers of children 0 - 18yrs.",,13 22 89,,,education.vic.gov.au/about/contact/Pages/parentline.aspx,8am to midnight,8am to midnight,8am to midnight,8am to midnight,8am to midnight,8am to midnight,8am to midnight,8am to midnight,,,,,,,  
